listing_id,town,block,flat_type,price,size_sqm,floor_range,lease_remaining,postal,full_address,lat,lng
89,Toa Payoh,169,3I,408000,65,high,45,310169,169 LORONG 1 TOA PAYOH NTUC ELDERCARE CENTRE SILVER CIRCLE (TOA PAYOH) SINGAPORE 310169,1.331725998460823,103.8427994701929
90,Toa Payoh,264,4A,1300000,93,high,91,310264,264 TOA PAYOH EAST TOA PAYOH APEX SINGAPORE 310264,1.332464536405005,103.8552375120577
91,Woodlands,623,4A,568000,102,high,70,730623,623 WOODLANDS DRIVE 52 SINGAPORE 730623,1.434849256358965,103.7989224204942
92,Woodlands,899A,5I,680000,123,high,69,730899,899A WOODLANDS DRIVE 50 SINGAPORE 730899,1.435805048099416,103.7952539878427
93,Woodlands,619,4PA,559000,95,high,70,730619,619 WOODLANDS DRIVE 52 SINGAPORE 730619,1.433436770919643,103.79805544789
94,Woodlands,792,5I,700000,121,low,69,730792,792 WOODLANDS AVENUE 6 SINGAPORE 730792,1.44214857011821,103.8022986461949
95,Woodlands,788C,EM,850000,143,middle,72,733788,788C WOODLANDS CRESCENT SINGAPORE 733788,1.443871797859943,103.8018334480485
96,Yishun,115A,5I,610000,113,high,72,761115,115A YISHUN RING ROAD CHONG PANG GARDEN SINGAPORE 761115,1.433317690007778,103.8275154438989
97,Yishun,634,4A,588000,104,middle,59,760634,634 YISHUN STREET 61 SINGAPORE 760634,1.418930263184932,103.8391001100297
98,Yishun,677B,5I,800000,113,high,90,762677,677B YISHUN RING ROAD PARK GROVE @ YISHUN SINGAPORE 762677,1.422099811593983,103.8426660369285
99,Yishun,316C,5I,788000,112,middle,87,763316,316C YISHUN AVENUE 9 YISHUN GREENWALK SINGAPORE 763316,1.432923060728566,103.8434727120085
100,Yishun,658,5I,730000,120,low,59,760658,658 YISHUN AVENUE 4 NEE SOON CENTRAL VIEW SINGAPORE 760658,1.421896322035138,103.8394874067747
